Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
2,2.7,0.9,1.0,10,2,0,2,1,27
3,2.6,0.8666666666666667,1.0,10,1,0,4,0,26
4,2.3,0.7666666666666667,0.8,10,1,1,3,0,23
5,2.3,0.7666666666666667,0.8,10,1,1,2,1,23
6,2.3,0.7666666666666667,0.8,10,1,1,1,2,23
7,2.5,0.8333333333333334,1.0,10,0,0,2,3,25
8,1.7,0.5666666666666667,0.4,10,1,3,0,1,17
9,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
10,2.7,0.9,1.0,10,2,0,0,3,27
