Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,2.2,0.9166666666666666,1.0,5,1,0,0,1,11,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 0}"
2,2.75,0.9166666666666666,1.0,4,1,0,0,1,11,"{'generous_tit_for_tat': 1, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 0}"
3,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
4,2.5,0.8333333333333334,1.0,4,0,0,0,2,10,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
5,1.75,0.5833333333333334,0.5,4,0,1,0,1,7,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 3, 'random': 0}"
6,2.5,0.8333333333333334,1.0,4,0,0,2,0,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
7,1.75,0.5833333333333334,0.5,4,0,1,0,1,7,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 3, 'random': 0}"
8,2.5,0.8333333333333334,1.0,4,0,0,0,2,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
9,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 2, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
10,2.0,0.6666666666666666,0.5,4,1,1,0,0,8,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
11,3.0,1.0,1.0,4,2,0,0,0,12,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0}"
12,2.75,0.9166666666666666,1.0,4,1,0,0,1,11,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 0}"
13,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 1, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
