generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,D-C,5-0,Always Defect strategy,Always Cooperate strategy,5,0
1,Agent_3-Agent_4,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: starting with cooperation,3,3
1,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
1,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: default cooperation,Suspicious Tit-for-Tat: starting with defection,0,5
2,Agent_1-Agent_2,C-D,0-5,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,0,5
2,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_5-Agent_6,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_7-Agent_8,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_1-Agent_2,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
3,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: forgiving defection,3,3
4,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
4,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
5,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
5,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
5,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
5,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
6,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
6,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
7,Agent_1-Agent_2,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
7,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
7,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
7,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
8,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
8,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
8,Agent_5-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
8,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
9,Agent_1-Agent_2,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
9,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
9,Agent_5-Agent_6,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
9,Agent_7-Agent_8,D-D,1-1,Grim Trigger: defecting after observed defection,Generous Tit-for-Tat: mirroring last move,1,1
10,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
10,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
