vgeneration,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,6,6
1,Agent_2-Agent_2,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,6,6
1,Agent_3-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",6,6
1,Agent_4-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,6,6
1,Agent_5-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,6,6
1,Agent_6-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,6,6
1,Agent_7-Agent_7,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,2,2
1,Agent_8-Agent_8,D-D,1-1,Always Defect strategy,Always Defect strategy,2,2
1,Agent_1-Agent_9,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,9,3
1,Agent_2-Agent_10,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,9,3
1,Agent_3-Agent_11,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",9,3
1,Agent_4-Agent_12,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,9,3
1,Agent_5-Agent_13,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,9,3
1,Agent_6-Agent_14,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,9,3
1,Agent_7-Agent_15,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,3,1
1,Agent_8-Agent_16,D-D,1-1,Always Defect strategy,Always Defect strategy,3,1
1,Agent_1-Agent_17,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,12,3
1,Agent_2-Agent_18,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,12,3
1,Agent_3-Agent_19,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",12,3
1,Agent_4-Agent_20,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,12,3
1,Agent_5-Agent_21,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,12,3
1,Agent_6-Agent_22,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,12,3
1,Agent_7-Agent_23,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,4,1
1,Agent_8-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,4,1
1,Agent_1-Agent_25,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,15,3
1,Agent_2-Agent_26,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,15,3
1,Agent_3-Agent_27,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",15,3
1,Agent_4-Agent_28,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,15,3
1,Agent_5-Agent_29,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,15,3
1,Agent_6-Agent_30,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,15,3
1,Agent_7-Agent_31,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,5,1
1,Agent_8-Agent_32,D-D,1-1,Always Defect strategy,Always Defect strategy,5,1
1,Agent_1-Agent_33,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,18,3
1,Agent_2-Agent_34,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,18,3
1,Agent_3-Agent_35,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",18,3
1,Agent_4-Agent_36,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,18,3
1,Agent_5-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,3
1,Agent_6-Agent_38,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,18,3
1,Agent_7-Agent_39,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,6,1
1,Agent_8-Agent_40,D-D,1-1,Always Defect strategy,Always Defect strategy,6,1
1,Agent_1-Agent_41,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,21,3
1,Agent_2-Agent_42,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,21,3
1,Agent_3-Agent_43,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",21,3
1,Agent_4-Agent_44,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,21,3
1,Agent_5-Agent_45,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,21,3
1,Agent_6-Agent_46,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,21,3
1,Agent_7-Agent_47,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,7,1
1,Agent_8-Agent_48,D-D,1-1,Always Defect strategy,Always Defect strategy,7,1
1,Agent_1-Agent_49,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,24,3
1,Agent_2-Agent_50,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,24,3
1,Agent_3-Agent_51,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",24,3
1,Agent_4-Agent_52,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,24,3
1,Agent_5-Agent_53,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,24,3
1,Agent_6-Agent_54,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,24,3
1,Agent_7-Agent_55,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,8,1
1,Agent_8-Agent_56,D-D,1-1,Always Defect strategy,Always Defect strategy,8,1
1,Agent_1-Agent_57,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,27,3
1,Agent_2-Agent_58,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,27,3
1,Agent_3-Agent_59,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",27,3
1,Agent_4-Agent_60,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,27,3
1,Agent_5-Agent_61,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,27,3
1,Agent_6-Agent_62,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,27,3
1,Agent_7-Agent_63,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,9,1
1,Agent_8-Agent_64,D-D,1-1,Always Defect strategy,Always Defect strategy,9,1
