Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,40.0,0.8333333333333334,0.75,8,1.25,384,128,0,0,2560,"{'generous_tit_for_tat': 8, 'tit_for_tat': 8, 'win_stay_lose_shift': 8, 'contrite_tit_for_tat': 8, 'always_cooperate': 8, 'grim_trigger': 8, 'suspicious_tit_for_tat': 8, 'always_defect': 8}"
2,43.015625,0.8961588541666666,0.76953125,6,1.408203125,394,67,27,24,2753,"{'generous_tit_for_tat': 41, 'tit_for_tat': 14, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 4, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 3, 'always_defect': 1}"
3,41.265625,0.8597005208333334,0.755859375,5,1.3125,387,102,11,12,2641,"{'generous_tit_for_tat': 44, 'tit_for_tat': 7, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 5, 'always_cooperate': 0, 'grim_trigger': 3, 'suspicious_tit_for_tat': 0, 'always_defect': 5}"
4,44.484375,0.9267578125,0.8125,6,1.541015625,416,43,26,27,2847,"{'generous_tit_for_tat': 44, 'tit_for_tat': 9, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 5, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 4}"
5,42.28125,0.880859375,0.759765625,6,1.361328125,389,81,20,22,2706,"{'generous_tit_for_tat': 40, 'tit_for_tat': 10, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 6, 'always_cooperate': 2, 'grim_trigger': 3, 'suspicious_tit_for_tat': 0, 'always_defect': 3}"
6,44.71875,0.931640625,0.876953125,7,1.658203125,449,49,7,7,2862,"{'generous_tit_for_tat': 39, 'tit_for_tat': 13, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 6, 'always_cooperate': 2, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 2}"
7,44.71875,0.931640625,0.876953125,6,1.658203125,449,49,7,7,2862,"{'generous_tit_for_tat': 34, 'tit_for_tat': 13, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 5, 'always_cooperate': 8, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 3}"
8,44.0,0.9166666666666666,0.875,7,1.625,448,64,0,0,2816,"{'generous_tit_for_tat': 36, 'tit_for_tat': 12, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 3, 'always_cooperate': 8, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 3}"
9,44.71875,0.931640625,0.876953125,8,1.658203125,449,49,7,7,2862,"{'generous_tit_for_tat': 40, 'tit_for_tat': 11, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 2, 'always_cooperate': 5, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 3}"
10,44.0,0.9166666666666666,0.875,7,1.625,448,64,0,0,2816,"{'generous_tit_for_tat': 40, 'tit_for_tat': 10, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 6, 'grim_trigger': 1, 'suspicious_tit_for_tat': 2, 'always_defect': 3}"
11,44.71875,0.931640625,0.876953125,6,1.658203125,449,49,7,7,2862,"{'generous_tit_for_tat': 37, 'tit_for_tat': 13, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 8, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 2}"
12,44.0,0.9166666666666666,0.875,7,1.625,448,64,0,0,2816,"{'generous_tit_for_tat': 38, 'tit_for_tat': 13, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 6, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 3}"
