generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,0,0,12,0,12,0.0
1,1,Wholesaler,0,12,12,0,12,0.0
1,1,Distributor,0,12,12,0,12,0.0
1,1,Factory,0,12,12,0,12,0.0
1,2,Retailer,0,11,12,0,0,11.0
1,2,Wholesaler,0,35,23,0,0,23.0
1,2,Distributor,0,46,15,0,0,23.0
1,2,Factory,0,38,23,0,0,23.0
1,3,Retailer,0,23,23,0,0,34.0
1,3,Wholesaler,0,70,12,0,0,70.0
1,3,Distributor,0,70,20,0,0,81.0
1,3,Factory,0,70,10,0,0,73.0
1,4,Retailer,0,30,12,12,0,64.0
1,4,Wholesaler,0,89,12,12,0,147.0
1,4,Distributor,0,89,12,12,0,158.0
1,4,Factory,0,89,12,12,0,150.0
1,5,Retailer,0,43,20,0,0,107.0
1,5,Wholesaler,0,122,12,0,0,249.0
1,5,Distributor,0,114,12,0,0,260.0
1,5,Factory,0,114,10,23,0,252.0
1,6,Retailer,0,54,10,0,0,161.0
1,6,Wholesaler,0,143,10,0,0,382.0
1,6,Distributor,0,135,10,0,0,385.0
1,6,Factory,0,135,10,10,0,377.0
1,7,Retailer,0,62,20,0,0,223.0
1,7,Wholesaler,0,171,20,0,0,533.0
1,7,Distributor,0,163,30,0,0,528.0
1,7,Factory,0,173,12,12,0,520.0
