| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | cost  |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ----- |
| 1          | 1           | Retailer    | 12        | 0       | 8            | 0                 | 8                        | -6.0  |
| 1          | 1           | Wholesaler  | 12        | 8       | 8            | 0                 | 8                        | -6.0  |
| 1          | 1           | Distributor | 12        | 8       | 6            | 0                 | 8                        | -6.0  |
| 1          | 1           | Factory     | 12        | 6       | 8            | 0                 | 8                        | -6.0  |
| 1          | 2           | Retailer    | 0         | 1       | 12           | 0                 | 12                       | -23.0 |
| 1          | 2           | Wholesaler  | 0         | 21      | 12           | 0                 | 12                       | -15.0 |
| 1          | 2           | Distributor | 0         | 21      | 12           | 0                 | 12                       | -15.0 |
| 1          | 2           | Factory     | 0         | 19      | 11           | 0                 | 12                       | -17.0 |
| 1          | 3           | Retailer    | 0         | 13      | 15           | 0                 | 0                        | -10.0 |
| 1          | 3           | Wholesaler  | 0         | 48      | 10           | 0                 | 0                        | 18.0  |
| 1          | 3           | Distributor | 0         | 43      | 15           | 0                 | 0                        | 18.0  |
| 1          | 3           | Factory     | 0         | 46      | 31           | 0                 | 0                        | 14.0  |
| 1          | 4           | Retailer    | 0         | 24      | 24           | 8                 | 0                        | 14.0  |
| 1          | 4           | Wholesaler  | 0         | 83      | 20           | 8                 | 0                        | 77.0  |
| 1          | 4           | Distributor | 0         | 74      | 12           | 8                 | 0                        | 72.0  |
| 1          | 4           | Factory     | 0         | 69      | 25           | 8                 | 0                        | 71.0  |
| 1          | 5           | Retailer    | 0         | 34      | 12           | 12                | 0                        | 48.0  |
| 1          | 5           | Wholesaler  | 0         | 105     | 30           | 12                | 0                        | 170.0 |
| 1          | 5           | Distributor | 0         | 114     | 20           | 12                | 0                        | 156.0 |
| 1          | 5           | Factory     | 0         | 99      | 25           | 11                | 0                        | 150.0 |
| 1          | 6           | Retailer    | 0         | 37      | 20           | 0                 | 0                        | 85.0  |
| 1          | 6           | Wholesaler  | 0         | 128     | 12           | 0                 | 0                        | 278.0 |
| 1          | 6           | Distributor | 0         | 129     | 12           | 0                 | 0                        | 273.0 |
| 1          | 6           | Factory     | 0         | 114     | 25           | 31                | 0                        | 252.0 |
| 1          | 7           | Retailer    | 0         | 48      | 12           | 0                 | 0                        | 133.0 |
| 1          | 7           | Wholesaler  | 0         | 151     | 12           | 0                 | 0                        | 417.0 |
| 1          | 7           | Distributor | 0         | 152     | 20           | 0                 | 0                        | 413.0 |
| 1          | 7           | Factory     | 0         | 145     | 25           | 25                | 0                        | 377.0 |
|            |             |             |           |         |              |                   |                          |       |
