| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 42        | 0       | 10           | 10                | 8                        | 19.0   |
| 1          | 1           | Wholesaler  | 42        | 10      | 10           | 10                | 8                        | 19.0   |
| 1          | 1           | Distributor | 42        | 10      | 10           | 10                | 8                        | 19.0   |
| 1          | 1           | Factory     | 42        | 10      | 10           | 10                | 8                        | 19.0   |
| 1          | 2           | Retailer    | 39        | 0       | 12           | 10                | 13                       | 64.5   |
| 1          | 2           | Wholesaler  | 29        | 12      | 12           | 10                | 23                       | 119.5  |
| 1          | 2           | Distributor | 19        | 12      | 10           | 10                | 33                       | 174.5  |
| 1          | 2           | Factory     | 9         | 10      | 10           | 10                | 43                       | 229.5  |
| 1          | 3           | Retailer    | 35        | 0       | 10           | 8                 | 12                       | 107.0  |
| 1          | 3           | Wholesaler  | 13        | 10      | 12           | 8                 | 24                       | 233.0  |
| 1          | 3           | Distributor | 0         | 21      | 19           | 8                 | 27                       | 300.5  |
| 1          | 3           | Factory     | 0         | 37      | 15           | 10                | 19                       | 306.5  |
| 1          | 4           | Retailer    | 49        | 0       | 12           | 23                | 9                        | 127.5  |
| 1          | 4           | Wholesaler  | 27        | 12      | 10           | 33                | 19                       | 314.5  |
| 1          | 4           | Distributor | 3         | 10      | 20           | 43                | 40                       | 499.0  |
| 1          | 4           | Factory     | 0         | 87      | 20           | 10                | 10                       | 289.5  |
| 1          | 5           | Retailer    | 61        | 0       | 12           | 24                | 12                       | 157.0  |
| 1          | 5           | Wholesaler  | 30        | 12      | 10           | 27                | 24                       | 419.5  |
| 1          | 5           | Distributor | 0         | 22      | 20           | 19                | 22                       | 597.0  |
| 1          | 5           | Factory     | 0         | 114     | 20           | 15                | 15                       | 270.5  |
| 1          | 6           | Retailer    | 72        | 0       | 12           | 19                | 8                        | 161.0  |
| 1          | 6           | Wholesaler  | 50        | 12      | 12           | 40                | 20                       | 494.5  |
| 1          | 6           | Distributor | 0         | 44      | 30           | 10                | 10                       | 615.0  |
| 1          | 6           | Factory     | 0         | 134     | 20           | 20                | 20                       | 266.5  |
| 1          | 7           | Retailer    | 83        | 0       | 12           | 24                | 13                       | 184.5  |
| 1          | 7           | Wholesaler  | 47        | 12      | 12           | 22                | 25                       | 596.0  |
| 1          | 7           | Distributor | 0         | 66      | 30           | 15                | 15                       | 636.0  |
| 1          | 7           | Factory     | 0         | 159     | 20           | 20                | 20                       | 237.5  |
|            |             |             |           |         |              |                   |                          |        |
