generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,35,0,25,10,15,57.5
1,1,Wholesaler,35,25,15,10,15,57.5
1,1,Distributor,35,15,20,10,15,57.5
1,1,Factory,35,20,10,10,15,57.5
1,2,Retailer,37,0,10,10,8,79.0
1,2,Wholesaler,12,10,15,10,33,216.5
1,2,Distributor,0,18,31,10,45,279.5
1,2,Factory,0,51,65,10,45,262.5
1,3,Retailer,34,0,20,15,18,152.0
1,3,Wholesaler,0,21,16,15,27,350.5
1,3,Distributor,0,46,55,15,15,324.5
1,3,Factory,0,111,71,10,10,256.5
1,4,Retailer,62,0,10,33,5,146.0
1,4,Wholesaler,19,10,16,45,26,471.0
1,4,Distributor,0,43,60,45,45,522.5
1,4,Factory,0,151,136,65,65,490.5
1,5,Retailer,78,0,10,27,11,162.0
1,5,Wholesaler,13,10,18,15,21,569.5
1,5,Distributor,0,72,80,10,10,518.5
1,5,Factory,0,170,110,71,71,755.5
1,6,Retailer,98,0,10,26,6,143.0
1,6,Wholesaler,42,10,10,45,16,628.5
1,6,Distributor,0,33,44,65,65,820.5
1,6,Factory,0,143,165,136,136,1336.5
1,7,Retailer,112,0,10,21,7,122.0
1,7,Wholesaler,35,10,10,10,17,696.0
1,7,Distributor,21,10,20,71,50,1060.0
1,7,Factory,0,103,165,110,110,1803.5
