| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 9         | 0       | 12           | 0                 | 11                       | 12.0   |
| 1          | 1           | Wholesaler  | 9         | 12      | 10           | 0                 | 11                       | 12.0   |
| 1          | 1           | Distributor | 9         | 10      | 2            | 0                 | 11                       | 12.0   |
| 1          | 1           | Factory     | 9         | 2       | 10           | 0                 | 11                       | 12.0   |
| 1          | 2           | Retailer    | 0         | 7       | 12           | 0                 | 9                        | 18.5   |
| 1          | 2           | Wholesaler  | 0         | 24      | 10           | 0                 | 9                        | 13.5   |
| 1          | 2           | Distributor | 0         | 20      | 10           | 0                 | 9                        | 15.5   |
| 1          | 2           | Factory     | 0         | 12      | 10           | 0                 | 9                        | 23.5   |
| 1          | 3           | Retailer    | 0         | 23      | 12           | 0                 | 0                        | -4.5   |
| 1          | 3           | Wholesaler  | 0         | 36      | 10           | 0                 | 0                        | -10.5  |
| 1          | 3           | Distributor | 0         | 30      | 10           | 0                 | 0                        | -4.5   |
| 1          | 3           | Factory     | 0         | 22      | 12           | 0                 | 0                        | 11.5   |
| 1          | 4           | Retailer    | 0         | 27      | 12           | 11                | 11                       | -15.0  |
| 1          | 4           | Wholesaler  | 0         | 48      | 36           | 11                | 11                       | -30.0  |
| 1          | 4           | Distributor | 0         | 66      | 30           | 11                | 11                       | -18.0  |
| 1          | 4           | Factory     | 0         | 53      | 10           | 10                | 10                       | 3.5    |
| 1          | 5           | Retailer    | 0         | 31      | 15           | 9                 | 9                        | -32.5  |
| 1          | 5           | Wholesaler  | 0         | 63      | 10           | 9                 | 9                        | -64.5  |
| 1          | 5           | Distributor | 0         | 76      | 10           | 9                 | 9                        | -70.5  |
| 1          | 5           | Factory     | 0         | 62      | 10           | 10                | 10                       | -33.5  |
| 1          | 6           | Retailer    | 0         | 40      | 12           | 0                 | 0                        | -72.5  |
| 1          | 6           | Wholesaler  | 0         | 75      | 10           | 0                 | 0                        | -127.5 |
| 1          | 6           | Distributor | 0         | 86      | 10           | 0                 | 0                        | -146.5 |
| 1          | 6           | Factory     | 0         | 60      | 20           | 12                | 12                       | -65.5  |
| 1          | 7           | Retailer    | 0         | 42      | 12           | 11                | 11                       | -98.0  |
| 1          | 7           | Wholesaler  | 0         | 87      | 75           | 11                | 11                       | -186.0 |
| 1          | 7           | Distributor | 0         | 162     | 10           | 10                | 10                       | -218.5 |
| 1          | 7           | Factory     | 0         | 70      | 20           | 10                | 10                       | -110.5 |
|            |             |             |           |         |              |                   |                          |        |
