generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,39,0,20,10,11,35.5
1,1,Wholesaler,39,20,20,10,11,35.5
1,1,Distributor,39,20,20,10,11,35.5
1,1,Factory,39,20,15,10,11,35.5
1,2,Retailer,42,0,20,10,7,49.5
1,2,Wholesaler,22,20,20,10,27,159.5
1,2,Distributor,2,20,20,10,47,269.5
1,2,Factory,0,38,48,10,49,262.5
1,3,Retailer,45,0,20,11,8,67.0
1,3,Wholesaler,5,20,20,11,28,297.0
1,3,Distributor,0,55,55,11,13,299.5
1,3,Factory,0,91,66,15,15,301.5
1,4,Retailer,57,0,15,27,15,113.5
1,4,Wholesaler,17,15,20,47,35,463.5
1,4,Distributor,0,61,70,49,49,503.5
1,4,Factory,0,162,122,48,48,449.5
1,5,Retailer,73,0,15,28,12,137.0
1,5,Wholesaler,3,15,20,13,27,597.0
1,5,Distributor,0,93,103,15,15,505.5
1,5,Factory,0,214,142,66,66,668.5
1,6,Retailer,101,0,20,35,7,121.5
1,6,Wholesaler,30,20,20,49,22,692.0
1,6,Distributor,0,87,95,48,48,678.5
1,6,Factory,0,235,170,122,122,1138.5
1,7,Retailer,120,0,20,27,8,101.5
1,7,Wholesaler,17,20,30,15,28,823.5
1,7,Distributor,0,79,75,66,66,959.5
1,7,Factory,0,234,200,142,142,1689.5
