| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | cost  |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ----- |
| 1          | 1           | Retailer    | 1         | 0       | 16           | 0                 | 0                        | 0.5   |
| 1          | 1           | Wholesaler  | 1         | 0       | 18           | 0                 | 0                        | 0.5   |
| 1          | 1           | Distributor | 1         | 0       | 16           | 0                 | 0                        | 0.5   |
| 1          | 1           | Factory     | 1         | 0       | 12           | 0                 | 0                        | 0.5   |
| 1          | 2           | Retailer    | 0         | 8       | 13           | 0                 | 0                        | 8.5   |
| 1          | 2           | Wholesaler  | 0         | 8       | 20           | 0                 | 0                        | 8.5   |
| 1          | 2           | Distributor | 0         | 8       | 13           | 0                 | 0                        | 8.5   |
| 1          | 2           | Factory     | 0         | 8       | 15           | 0                 | 0                        | 8.5   |
| 1          | 3           | Retailer    | 0         | 20      | 16           | 0                 | 0                        | 28.5  |
| 1          | 3           | Wholesaler  | 0         | 20      | 18           | 0                 | 0                        | 28.5  |
| 1          | 3           | Distributor | 0         | 20      | 18           | 0                 | 0                        | 28.5  |
| 1          | 3           | Factory     | 0         | 20      | 15           | 0                 | 0                        | 28.5  |
| 1          | 4           | Retailer    | 4         | 20      | 15           | 16                | 0                        | 50.5  |
| 1          | 4           | Wholesaler  | 6         | 20      | 17           | 18                | 0                        | 51.5  |
| 1          | 4           | Distributor | 4         | 20      | 16           | 16                | 0                        | 50.5  |
| 1          | 4           | Factory     | 0         | 20      | 14           | 12                | 0                        | 48.5  |
| 1          | 5           | Retailer    | 4         | 20      | 18           | 13                | 0                        | 72.5  |
| 1          | 5           | Wholesaler  | 13        | 20      | 18           | 20                | 0                        | 78.0  |
| 1          | 5           | Distributor | 4         | 20      | 18           | 13                | 0                        | 72.5  |
| 1          | 5           | Factory     | 2         | 20      | 15           | 15                | 0                        | 69.5  |
| 1          | 6           | Retailer    | 8         | 20      | 15           | 16                | 0                        | 96.5  |
| 1          | 6           | Wholesaler  | 19        | 20      | 18           | 18                | 0                        | 107.5 |
| 1          | 6           | Distributor | 10        | 20      | 18           | 18                | 0                        | 97.5  |
| 1          | 6           | Factory     | 5         | 20      | 15           | 15                | 0                        | 92.0  |
| 1          | 7           | Retailer    | 16        | 20      | 17           | 15                | 0                        | 124.5 |
| 1          | 7           | Wholesaler  | 29        | 20      | 17           | 17                | 0                        | 142.0 |
| 1          | 7           | Distributor | 19        | 20      | 18           | 16                | 0                        | 127.0 |
| 1          | 7           | Factory     | 12        | 20      | 15           | 14                | 0                        | 118.0 |
| 1          | 8           | Retailer    | 26        | 20      | 16           | 18                | 0                        | 157.5 |
| 1          | 8           | Wholesaler  | 39        | 20      | 18           | 18                | 0                        | 181.5 |
| 1          | 8           | Distributor | 29        | 20      | 18           | 18                | 0                        | 161.5 |
| 1          | 8           | Factory     | 19        | 20      | 15           | 15                | 0                        | 147.5 |
| 1          | 9           | Retailer    | 29        | 20      | 16           | 15                | 0                        | 192.0 |
| 1          | 9           | Wholesaler  | 45        | 20      | 16           | 18                | 0                        | 224.0 |
| 1          | 9           | Distributor | 35        | 20      | 16           | 18                | 0                        | 199.0 |
| 1          | 9           | Factory     | 22        | 20      | 15           | 15                | 0                        | 178.5 |
| 1          | 10          | Retailer    | 34        | 20      | 16           | 17                | 0                        | 229.0 |
| 1          | 10          | Wholesaler  | 50        | 20      | 18           | 17                | 0                        | 269.0 |
| 1          | 10          | Distributor | 41        | 20      | 14           | 18                | 0                        | 239.5 |
| 1          | 10          | Factory     | 25        | 20      | 15           | 15                | 0                        | 211.0 |
| 1          | 11          | Retailer    | 36        | 20      | 18           | 16                | 0                        | 267.0 |
| 1          | 11          | Wholesaler  | 54        | 20      | 16           | 18                | 0                        | 316.0 |
| 1          | 11          | Distributor | 45        | 20      | 18           | 18                | 0                        | 282.0 |
| 1          | 11          | Factory     | 26        | 20      | 14           | 15                | 0                        | 244.0 |
| 1          | 12          | Retailer    | 35        | 20      | 15           | 16                | 0                        | 304.5 |
| 1          | 12          | Wholesaler  | 53        | 20      | 18           | 16                | 0                        | 362.5 |
| 1          | 12          | Distributor | 44        | 20      | 16           | 16                | 0                        | 324.0 |
| 1          | 12          | Factory     | 24        | 20      | 16           | 15                | 0                        | 276.0 |
| 1          | 13          | Retailer    | 42        | 20      | 16           | 16                | 0                        | 345.5 |
| 1          | 13          | Wholesaler  | 62        | 20      | 16           | 18                | 0                        | 413.5 |
| 1          | 13          | Distributor | 49        | 20      | 14           | 14                | 0                        | 368.5 |
| 1          | 13          | Factory     | 30        | 20      | 15           | 15                | 0                        | 311.0 |
| 1          | 14          | Retailer    | 46        | 20      | 18           | 18                | 0                        | 388.5 |
| 1          | 14          | Wholesaler  | 64        | 20      | 18           | 16                | 0                        | 465.5 |
| 1          | 14          | Distributor | 53        | 20      | 18           | 18                | 0                        | 415.0 |
| 1          | 14          | Factory     | 30        | 20      | 15           | 14                | 0                        | 346.0 |
| 1          | 15          | Retailer    | 54        | 20      | 16           | 15                | 0                        | 435.5 |
| 1          | 15          | Wholesaler  | 75        | 20      | 20           | 18                | 0                        | 523.0 |
| 1          | 15          | Distributor | 62        | 20      | 13           | 16                | 0                        | 466.0 |
| 1          | 15          | Factory     | 39        | 20      | 13           | 16                | 0                        | 385.5 |
| 1          | 16          | Retailer    | 63        | 20      | 16           | 16                | 0                        | 487.0 |
| 1          | 16          | Wholesaler  | 84        | 20      | 18           | 16                | 0                        | 585.0 |
| 1          | 16          | Distributor | 69        | 20      | 18           | 14                | 0                        | 520.5 |
| 1          | 16          | Factory     | 47        | 20      | 15           | 15                | 0                        | 429.0 |
| 1          | 17          | Retailer    | 70        | 20      | 15           | 18                | 0                        | 542.0 |
| 1          | 17          | Wholesaler  | 91        | 20      | 18           | 18                | 0                        | 650.5 |
| 1          | 17          | Distributor | 76        | 20      | 16           | 18                | 0                        | 578.5 |
| 1          | 17          | Factory     | 51        | 20      | 14           | 15                | 0                        | 474.5 |
| 1          | 18          | Retailer    | 74        | 20      | 16           | 16                | 0                        | 599.0 |
| 1          | 18          | Wholesaler  | 99        | 20      | 17           | 20                | 0                        | 720.0 |
| 1          | 18          | Distributor | 77        | 20      | 18           | 13                | 0                        | 637.0 |
| 1          | 18          | Factory     | 52        | 20      | 15           | 13                | 0                        | 520.5 |
| 1          | 19          | Retailer    | 76        | 20      | 15           | 16                | 0                        | 657.0 |
| 1          | 19          | Wholesaler  | 103       | 20      | 16           | 18                | 0                        | 791.5 |
| 1          | 19          | Distributor | 81        | 20      | 16           | 18                | 0                        | 697.5 |
| 1          | 19          | Factory     | 53        | 20      | 15           | 15                | 0                        | 567.0 |
| 1          | 20          | Retailer    | 78        | 20      | 18           | 15                | 0                        | 716.0 |
| 1          | 20          | Wholesaler  | 108       | 20      | 14           | 18                | 0                        | 865.5 |
| 1          | 20          | Distributor | 84        | 20      | 17           | 16                | 0                        | 759.5 |
| 1          | 20          | Factory     | 54        | 20      | 16           | 14                | 0                        | 614.0 |
|            |             |             |           |         |              |                   |                          |       |
