| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | cost   |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 3         | 20      | 14           | 0                 | 9                        | 1.5    |
| 1          | 1           | Wholesaler  | 3         | 16      | 20           | 0                 | 9                        | 1.5    |
| 1          | 1           | Distributor | 3         | 18      | 16           | 0                 | 9                        | 1.5    |
| 1          | 1           | Factory     | 3         | 0       | 18           | 0                 | 9                        | 1.5    |
| 1          | 2           | Retailer    | 0         | 51      | 15           | 0                 | 3                        | 32.5   |
| 1          | 2           | Wholesaler  | 0         | 45      | 20           | 0                 | 3                        | 28.5   |
| 1          | 2           | Distributor | 0         | 45      | 18           | 0                 | 3                        | 30.5   |
| 1          | 2           | Factory     | 0         | 11      | 16           | 0                 | 3                        | 12.5   |
| 1          | 3           | Retailer    | 0         | 81      | 15           | 0                 | 0                        | 93.5   |
| 1          | 3           | Wholesaler  | 0         | 75      | 20           | 0                 | 0                        | 83.5   |
| 1          | 3           | Distributor | 0         | 73      | 20           | 0                 | 0                        | 85.5   |
| 1          | 3           | Factory     | 0         | 21      | 18           | 0                 | 0                        | 33.5   |
| 1          | 4           | Retailer    | 0         | 101     | 18           | 0                 | 0                        | 174.5  |
| 1          | 4           | Wholesaler  | 0         | 95      | 20           | 0                 | 0                        | 158.5  |
| 1          | 4           | Distributor | 0         | 90      | 20           | 0                 | 0                        | 158.5  |
| 1          | 4           | Factory     | 0         | 30      | 17           | 0                 | 0                        | 63.5   |
| 1          | 5           | Retailer    | 0         | 127     | 15           | 0                 | 0                        | 281.5  |
| 1          | 5           | Wholesaler  | 0         | 121     | 20           | 0                 | 0                        | 259.5  |
| 1          | 5           | Distributor | 0         | 114     | 20           | 0                 | 0                        | 254.5  |
| 1          | 5           | Factory     | 0         | 39      | 18           | 0                 | 0                        | 102.5  |
| 1          | 6           | Retailer    | 0         | 158     | 18           | 0                 | 0                        | 419.5  |
| 1          | 6           | Wholesaler  | 0         | 152     | 20           | 0                 | 0                        | 391.5  |
| 1          | 6           | Distributor | 0         | 145     | 20           | 0                 | 0                        | 379.5  |
| 1          | 6           | Factory     | 0         | 50      | 20           | 0                 | 0                        | 152.5  |
| 1          | 7           | Retailer    | 0         | 187     | 15           | 0                 | 0                        | 586.5  |
| 1          | 7           | Wholesaler  | 0         | 181     | 20           | 0                 | 0                        | 552.5  |
| 1          | 7           | Distributor | 0         | 172     | 20           | 0                 | 0                        | 533.5  |
| 1          | 7           | Factory     | 0         | 59      | 18           | 0                 | 0                        | 211.5  |
| 1          | 8           | Retailer    | 0         | 217     | 15           | 0                 | 0                        | 783.5  |
| 1          | 8           | Wholesaler  | 0         | 211     | 20           | 0                 | 0                        | 743.5  |
| 1          | 8           | Distributor | 0         | 200     | 20           | 0                 | 0                        | 715.5  |
| 1          | 8           | Factory     | 0         | 69      | 18           | 0                 | 0                        | 280.5  |
| 1          | 9           | Retailer    | 0         | 246     | 15           | 0                 | 0                        | 1009.5 |
| 1          | 9           | Wholesaler  | 0         | 245     | 20           | 0                 | 0                        | 963.5  |
| 1          | 9           | Distributor | 0         | 229     | 25           | 0                 | 0                        | 924.5  |
| 1          | 9           | Factory     | 0         | 78      | 20           | 0                 | 0                        | 358.5  |
| 1          | 10          | Retailer    | 0         | 270     | 20           | 0                 | 0                        | 1259.5 |
| 1          | 10          | Wholesaler  | 0         | 269     | 20           | 0                 | 0                        | 1212.5 |
| 1          | 10          | Distributor | 0         | 253     | 20           | 0                 | 0                        | 1157.5 |
| 1          | 10          | Factory     | 0         | 82      | 20           | 0                 | 0                        | 440.5  |
| 1          | 11          | Retailer    | 0         | 302     | 15           | 0                 | 0                        | 1541.5 |
| 1          | 11          | Wholesaler  | 0         | 301     | 20           | 0                 | 0                        | 1493.5 |
| 1          | 11          | Distributor | 0         | 285     | 20           | 0                 | 0                        | 1422.5 |
| 1          | 11          | Factory     | 0         | 94      | 20           | 0                 | 0                        | 534.5  |
| 1          | 12          | Retailer    | 0         | 332     | 16           | 0                 | 0                        | 1855.5 |
| 1          | 12          | Wholesaler  | 0         | 338     | 18           | 0                 | 0                        | 1806.5 |
| 1          | 12          | Distributor | 0         | 315     | 25           | 0                 | 0                        | 1719.5 |
| 1          | 12          | Factory     | 0         | 106     | 18           | 0                 | 0                        | 640.5  |
|            |             |             |           |         |              |                   |                          |        |
