generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,1,0,15,0,11,0.5
1,1,Wholesaler,1,15,14,0,11,0.5
1,1,Distributor,1,14,16,0,11,0.5
1,1,Factory,1,16,20,0,11,0.5
1,2,Retailer,0,7,13,0,1,7.5
1,2,Wholesaler,0,35,18,0,1,22.5
1,2,Distributor,0,39,18,0,1,21.5
1,2,Factory,0,41,20,0,1,23.5
1,3,Retailer,0,18,16,0,0,25.5
1,3,Wholesaler,0,62,20,0,0,68.5
1,3,Distributor,0,70,20,0,0,71.5
1,3,Factory,0,72,20,0,0,75.5
1,4,Retailer,0,21,16,0,0,46.5
1,4,Wholesaler,0,81,20,0,0,133.5
1,4,Distributor,0,93,20,0,0,144.5
1,4,Factory,0,106,18,0,0,161.5
1,5,Retailer,0,28,18,0,0,74.5
1,5,Wholesaler,0,106,20,0,0,221.5
1,5,Distributor,0,120,20,0,0,244.5
1,5,Factory,0,134,18,0,0,275.5
1,6,Retailer,0,44,20,0,0,118.5
1,6,Wholesaler,0,142,20,0,0,343.5
1,6,Distributor,0,156,20,0,0,380.5
1,6,Factory,0,170,18,0,0,425.5
1,7,Retailer,0,52,18,0,0,170.5
1,7,Wholesaler,0,168,20,0,0,493.5
1,7,Distributor,0,184,20,0,0,544.5
1,7,Factory,0,198,20,0,0,603.5
