run_id,round,action_A,action_B,perceived_B_by_A,perceived_A_by_B,payoff_A,payoff_B,rt_A,rt_B
20250607_013111_1_1749274271,1,High,Low,Low,High,5,0,0.0,0.0
20250607_013111_1_1749274271,2,High,High,High,High,1,1,0.0,0.0
20250607_013111_1_1749274271,3,High,High,High,High,1,1,0.0,0.0
20250607_013111_1_1749274271,4,Low,High,High,Low,0,5,0.0,0.0
20250607_013111_1_1749274271,5,Low,Low,Low,High,3,0,0.0,0.0
20250607_013111_1_1749274271,6,High,High,High,High,1,1,0.0,0.0
20250607_013111_1_1749274271,7,Low,High,High,Low,0,5,0.0,0.0
20250607_013111_1_1749274271,8,Low,Low,Low,Low,3,3,0.0,0.0
20250607_013111_1_1749274271,9,Low,Low,Low,Low,3,3,0.0,0.0
20250607_013111_1_1749274271,10,High,Low,Low,High,5,0,0.0,0.0
