run_id,round,action_A,action_B,perceived_B_by_A,perceived_A_by_B,payoff_A,payoff_B,rt_A,rt_B
20250417_184638_1_1744940803,1,Low,Low,High,Low,0,3,0.0,0.0
20250417_184638_1_1744940803,2,Low,Low,Low,Low,3,3,0.0,0.0
20250417_184638_1_1744940803,3,High,Low,Low,High,5,0,0.0,0.0
20250417_184638_1_1744940803,4,High,High,High,High,1,1,0.0,0.0
20250417_184638_1_1744940803,5,High,High,High,High,1,1,0.0,0.0
20250417_184638_1_1744940803,6,High,High,High,Low,1,5,0.0,0.0
20250417_184638_1_1744940803,7,Low,Low,Low,Low,3,3,0.0,0.0
20250417_184638_1_1744940803,8,Low,Low,Low,Low,3,3,0.0,0.0
20250417_184638_1_1744940803,9,Low,Low,Low,Low,3,3,0.0,0.0
20250417_184638_1_1744940803,10,High,Low,Low,High,5,0,0.0,0.0
